"Date","Open","High","Low","Close","Volume","MarketCap"
2018-08-31,1.67,1.68,1.63,1.66,3546690,87757490
2018-09-01,1.66,1.76,1.66,1.74,3651870,91656455
2018-09-02,1.73,1.76,1.71,1.73,3283510,91121686
2018-09-03,1.73,1.73,1.69,1.7,2882650,90135367
2018-09-04,1.7,1.72,1.69,1.7,2997390,89896185
2018-09-05,1.7,1.71,1.41,1.41,4709590,74480092
2018-09-06,1.4,1.4,1.31,1.39,3620320,73800439
2018-09-07,1.39,1.41,1.32,1.32,2950550,70141900
2018-09-08,1.32,1.34,1.19,1.22,2044150,64773902
2018-09-09,1.22,1.27,1.17,1.21,2748250,64466254
2018-09-10,1.21,1.24,1.19,1.23,2516760,65331210
2018-09-11,1.23,1.24,1.18,1.19,4346960,64089754
2018-09-12,1.2,1.2,1.1,1.19,2910380,63785077
2018-09-13,1.19,1.37,1.19,1.37,3957740,73348572
2018-09-14,1.36,1.42,1.33,1.37,3760880,73448762
2018-09-15,1.37,1.45,1.36,1.43,2375670,76838879
2018-09-16,1.43,1.43,1.36,1.42,3079870,76155989
2018-09-17,1.42,1.44,1.27,1.29,3088900,69024147
2018-09-18,1.29,1.37,1.27,1.37,2353360,73221449
2018-09-19,1.36,1.39,1.32,1.36,2554520,73117475
2018-09-20,1.36,1.44,1.35,1.44,2902810,77300589
2018-09-21,1.44,1.57,1.43,1.56,3332760,83504011
2018-09-22,1.56,2,1.49,1.59,3558670,85028841
2018-09-23,1.55,1.95,1.49,1.57,3083620,84225537
2018-09-24,1.57,1.58,1.46,1.47,2177180,78488098
2018-09-25,1.47,1.47,1.36,1.41,3777050,81630633
2018-09-26,1.42,1.45,1.37,1.42,2528510,82048107
2018-09-27,1.42,1.5,1.39,1.49,2618570,85859364
2018-09-28,1.49,1.51,1.44,1.46,2290830,84376947
2018-09-29,1.46,1.52,1.42,1.51,2261760,86879116
2018-09-30,1.51,1.53,1.49,1.51,1693560,86904015
2018-10-01,1.51,1.53,1.48,1.5,1599810,86304461
2018-10-02,1.5,1.52,1.47,1.49,2405470,85778391
2018-10-03,1.48,1.49,1.43,1.46,2020610,84244554
2018-10-04,1.46,1.49,1.45,1.47,1801060,84977921
2018-10-05,1.47,1.5,1.46,1.49,2923420,86140649
2018-10-06,1.49,1.49,1.47,1.48,1161170,85300142
2018-10-07,1.48,1.49,1.46,1.47,1113610,85152248
2018-10-08,1.48,1.51,1.47,1.5,1821100,86831808
2018-10-09,1.51,1.51,1.48,1.5,1719720,86390092
2018-10-10,1.49,1.49,1.47,1.49,2222800,86034535
2018-10-11,1.49,1.49,1.27,1.27,2923460,73420840
2018-10-12,1.27,1.31,1.26,1.29,2896250,74624823
2018-10-13,1.29,1.31,1.29,1.3,1875420,75086395
2018-10-14,1.3,1.3,1.27,1.27,2244690,73318420
2018-10-15,1.27,1.42,1.26,1.31,4794350,75631139
2018-10-16,1.31,1.31,1.28,1.3,2716760,74888641
2018-10-17,1.3,1.31,1.29,1.3,2617100,74735533
2018-10-18,1.3,1.3,1.26,1.28,4110750,73503341
2018-10-19,1.28,1.29,1.26,1.28,4248590,73438184
2018-10-20,1.28,1.3,1.27,1.29,3449020,74368423
2018-10-21,1.29,1.31,1.28,1.29,2460580,74286239
2018-10-22,1.29,1.3,1.27,1.27,2627720,73658631
2018-10-23,1.27,1.28,1.26,1.28,2667440,74457269
